project,model,r2,Formula,changes,slope
cxf,polynomial,0.8118858921094834,54.530456 * x^0 + -122.245374 * x^1 + 119.705612 * x^2 + -59.163140 * x^3 + 16.834976 * x^4 + -2.946390 * x^5 + 0.326756 * x^6 + -0.022987 * x^7 + 0.000993 * x^8 + -0.000024 * x^9 + 0.000000 * x^10,Decreasing,0.3684210526315789
deltaspike,polynomial,0.7238684946499347,13.154109 * x^0 + -29.848008 * x^1 + 24.744246 * x^2 + -10.060641 * x^3 + 2.275871 * x^4 + -0.301128 * x^5 + 0.023177 * x^6 + -0.000961 * x^7 + 0.000017 * x^8,No Change,0.0
directory-kerby,polynomial,0.9552447552022267,68.333333 * x^0 + -158.585564 * x^1 + 136.307280 * x^2 + -57.918483 * x^3 + 13.503632 * x^4 + -1.761111 * x^5 + 0.120556 * x^6 + -0.003373 * x^7,No Change,0.0
drill,polynomial,0.8015778961724906,7.901515 * x^0 + -11.450053 * x^1 + 5.065377 * x^2 + -0.647994 * x^3 + 0.025386 * x^4,Increasing,0.5833333333333334
falcon,polynomial,0.8079864061172464,22.714286 * x^0 + -37.972583 * x^1 + 20.916667 * x^2 + -4.131313 * x^3 + 0.265152 * x^4,Decreasing,0.14285714285714285
flink,logarithmic,0.787261425277889,30.687049 * log(x) + -0.029051,Increasing,3.9166666666666665
flume,polynomial,0.7522827172827165,2.250000 * x^0 + 7.444697 * x^1 + -6.387675 * x^2 + 1.992861 * x^3 + -0.247523 * x^4 + 0.010577 * x^5,No Change,0.0
fluo,polynomial,1.0,20.000000 * x^0 + -42.333333 * x^1 + 31.000000 * x^2 + -10.083333 * x^3 + 1.500000 * x^4 + -0.083333 * x^5,No Change,0.0
fluo-recipes,polynomial,1.0,10.000000 * x^0 + -14.666667 * x^1 + 6.500000 * x^2 + -0.833333 * x^3,Increasing,0.25
geode,polynomial,0.9275009679270461,-26.983333 * x^0 + 27.655303 * x^1 + -2.299242 * x^2,Increasing,2.5
giraph,polynomial,0.8819277108433734,-5.750000 * x^0 + 9.850000 * x^1 + -1.750000 * x^2,Increasing,1.0
hbase,polynomial,0.7316236285803279,-2.816850 * x^0 + 4.097360 * x^1 + 0.675896 * x^2 + -0.056079 * x^3,Increasing,1.0
hive,polynomial,0.7997850253987,18.069930 * x^0 + -22.912864 * x^1 + 7.832369 * x^2 + -0.797445 * x^3 + 0.025503 * x^4,Increasing,2.7333333333333334
httpcomponents-client,polynomial,0.7527745885954842,-2.000000 * x^0 + 2.094406 * x^1 + -0.178322 * x^2,No Change,0.0
httpcomponents-core,polynomial,0.787515006002401,1.303571 * x^0 + -3.825667 * x^1 + 2.828598 * x^2 + -0.572601 * x^3 + 0.035038 * x^4,Increasing,0.25
hudi,linear,0.7807984790874525,3.700000 * x + -6.166667,Increasing,3.0
ignite,polynomial,0.8613691567428252,75.466667 * x^0 + -121.350606 * x^1 + 66.527098 * x^2 + -14.875932 * x^3 + 1.466142 * x^4 + -0.052949 * x^5,Decreasing,0.1
iotdb,polynomial,1.0,-111.000000 * x^0 + 263.583333 * x^1 + -166.041667 * x^2 + 40.916667 * x^3 + -3.458333 * x^4,Decreasing,3.0
isis,polynomial,0.7374962633274649,-0.384615 * x^0 + 1.842302 * x^1 + -0.678862 * x^2 + 0.078483 * x^3 + -0.002751 * x^4,Increasing,0.07692307692307693
jackrabbit-oak,polynomial,0.7375582119900306,-8.006993 * x^0 + 8.323343 * x^1 + -1.016733 * x^2 + 0.035548 * x^3,Increasing,0.6923076923076923
james-project,polynomial,0.7617813473076628,0.293651 * x^0 + 8.388648 * x^1 + -1.398629 * x^2 + 0.069865 * x^3,Increasing,0.5555555555555556
