project,model,r2,Formula,changes,slope
plc4x,polynomial,0.8113367444694783,-0.429010 * x^0 + 0.594381 * x^1 + -0.153211 * x^2 + 0.011510 * x^3,Increasing,0.021403683424589343
polygene-java,linear,0.797985221007624,-0.002501 * x + 0.021669,Decreasing,0.0024068589935558335
qpid-proton,linear,0.7452531266597049,0.009485 * x + 0.058029,Increasing,0.0083975551421738
reef,polynomial,0.7009521317267462,0.015926 * x^0 + -0.001818 * x^1 + 0.000263 * x^2,No Change,5.841442630161667e-05
servicemix,polynomial,0.9131565592489217,0.066667 * x^0 + 0.345805 * x^1 + -0.178997 * x^2 + 0.022817 * x^3,Decreasing,0.01666666666666668
shindig,linear,0.7800245037296673,0.011971 * x + 0.247564,Increasing,0.010580706705353965
shiro,polynomial,0.863665592030155,0.154192 * x^0 + 0.134106 * x^1 + -0.030271 * x^2 + 0.002664 * x^3 + -0.000081 * x^4,Increasing,0.006582343830665975
skywalking,polynomial,0.7302791547363565,-0.034312 * x^0 + -0.066521 * x^1 + 0.091475 * x^2 + -0.015922 * x^3 + 0.000761 * x^4,Increasing,0.019433465085639
sling-org-apache-sling-models-impl,polynomial,0.8180558494738714,0.268275 * x^0 + 0.004267 * x^1 + -0.000251 * x^2,No Change,0.0009995791245791252
solr,polynomial,0.7128436187623732,0.047030 * x^0 + -0.094638 * x^1 + 0.064853 * x^2 + -0.020618 * x^3 + 0.003594 * x^4 + -0.000371 * x^5 + 0.000023 * x^6 + -0.000001 * x^7 + 0.000000 * x^8 + -0.000000 * x^9,No Change,0.001186033729642161
spark,logarithmic,0.8148186415024479,0.038355 * log(x) + -0.008685,Increasing,0.00585241730279898
sqoop,exponential,0.997230357727662,0.000053 * exp(1.426296 * x) + -0.001348,Increasing,0.01302325581395348
storm,linear,0.7946086232209318,0.017824 * x + 0.020847,Increasing,0.015681743149554308
stratos,polynomial,0.8652515891605963,-0.152682 * x^0 + 0.220187 * x^1 + -0.072838 * x^2 + 0.007298 * x^3,Increasing,0.0075187969924812
struts,polynomial,0.7236317946207129,0.145172 * x^0 + -0.137412 * x^1 + 0.079932 * x^2 + -0.021722 * x^3 + 0.003191 * x^4 + -0.000269 * x^5 + 0.000013 * x^6 + -0.000000 * x^7 + 0.000000 * x^8,No Change,0.00019737499724691417
syncope,exponential,0.7956080557601664,0.000619 * exp(0.384694 * x) + -0.007219,Increasing,0.007653061224489792
tajo,polynomial,0.8635895532013537,-0.002987 * x^0 + 0.004517 * x^1 + -0.000468 * x^2,No Change,0.0009306654257794286
tapestry-5,logarithmic,0.8292392873087611,-0.014338 * log(x) + 0.055763,No Change,0.001604880442541045
tez,polynomial,0.7805962220483705,1.024272 * x^0 + -1.370767 * x^1 + 1.007118 * x^2 + -0.364719 * x^3 + 0.071998 * x^4 + -0.007882 * x^5 + 0.000449 * x^6 + -0.000010 * x^7,No Change,0.00088725088725089
thrift,linear,0.7549285904015647,0.003782 * x + -0.010920,Increasing,0.0023547880690737784
tika,polynomial,0.7670762477038202,0.009737 * x^0 + 0.012840 * x^1 + -0.003643 * x^2 + 0.000327 * x^3 + -0.000009 * x^4,No Change,0.00037563938618925623
tiles,polynomial,0.8680294911451216,0.010385 * x^0 + 0.345654 * x^1 + -0.057376 * x^2 + 0.002795 * x^3,Increasing,0.026769068091382152
tomcat,linear,0.8541152645755574,0.001389 * x + -0.002990,No Change,0.0010528330781010688
tomee,polynomial,0.7620117970131232,0.001266 * x^0 + 0.000962 * x^1 + -0.000144 * x^2 + 0.000006 * x^3,No Change,4.972545433346923e-05
turbine-core,linear,0.8248147147431714,0.027577 * x + -0.046268,Increasing,0.021111111111111112
whirr,logarithmic,0.8353757853148108,-0.034480 * log(x) + 0.144161,Decreasing,0.011727836650297252
wicket,logarithmic,0.7858844764536643,0.006450 * log(x) + -0.002535,No Change,0.00067898393949175
ws-axiom,linear,0.8031463838995194,0.000741 * x + -0.000483,No Change,0.0006177924217462917
xmlgraphics-commons,logarithmic,0.7382424148137745,0.041457 * log(x) + -0.021556,Increasing,0.005067567567567563
xmlgraphics-fop,linear,0.7978678092686556,0.010620 * x + -0.047160,Increasing,0.007022616957554474
yetus,polynomial,0.8041958041958042,-0.200000 * x^0 + 0.212704 * x^1 + -0.055944 * x^2 + 0.004079 * x^3,Increasing,0.05
zeppelin,logarithmic,0.8621665033863496,0.041247 * log(x) + 0.136632,Increasing,0.0096037455749686
zookeeper,linear,0.8902996584436498,0.006074 * x + -0.012301,Increasing,0.00462046204620462
