Project,Latest Tag ID,year,date
abdera,abdera-0.4.0-incubating,2008,2008-12-04
abdera,abdera-1.0,2009,2009-01-24
abdera,abdera-1.1,2010,2010-12-05
abdera,abdera-1.1.3-RC1,2011,2011-10-16
abdera,abdera-1.1.3-RC2,2012,2012-12-21
accumulo,1.4.2,2012,2012-11-15
accumulo,1.6.1,2014,2014-09-19
accumulo,1.4.4,2013,2013-08-15
accumulo,1.6.4,2015,2015-09-28
accumulo,rel/2.0.1,2020,2020-12-21
accumulo,rel/2.1.0,2022,2022-10-27
accumulo,rel/1.10.3,2023,2023-04-07
accumulo,rel/1.6.6,2016,2016-09-15
accumulo,rel/1.7.3,2017,2017-03-10
accumulo,rel/2.0.0-alpha-1,2018,2018-10-11
accumulo,rel/2.0.0,2019,2019-07-29
activemq,activemq-5.0.0,2007,2007-12-07
activemq,activemq-parent-5.2,2008,2008-09-08
activemq,activemq-5.10.0,2014,2014-06-05
activemq,activemq-5.13.0,2015,2015-11-30
activemq,activemq-5.14.3,2016,2016-12-19
activemq,activemq-5.15.2,2017,2017-10-17
activemq,activemq-5.15.11,2019,2019-11-20
activemq,activemq-5.15.14,2020,2020-12-02
activemq,activemq-5.16.3,2021,2021-08-10
activemq,activemq-5.15.8,2018,2018-11-14
activemq,activemq-5.17.3,2022,2022-11-29
activemq,activemq-5.18.1,2023,2023-04-10
activemq,activemq-5.3.0,2009,2009-10-23
activemq,activemq-5.4.2,2010,2010-11-26
activemq,activemq-5.4.3,2011,2011-10-12
activemq,activemq-5.7.0,2012,2012-10-02
activemq,activemq-5.9.0,2013,2013-10-14
airavata,airavata-0.11,2013,2013-12-26
airavata,airavata-0.5,2012,2012-11-02
airavata,airavata-0.14,2014,2014-12-29
airavata,airavata-0.15,2015,2015-12-04
airavata,airavata-0.16,2016,2016-07-13
airavata,airavata-0.17,2019,2019-03-21
airavata,airavata-0.19,2020,2020-09-05
ambari,release-2.2.0,2015,2015-12-15
ambari,release-2.4.2,2016,2016-11-18
ambari,Ambari-1.7.0,2014,2014-11-24
ambari,apache/release-0.9.0-rc3,2012,2012-09-07
ambari,release-1.4.2-rc0,2013,2013-12-19
ambari,release-2.6.1,2017,2017-12-12
ambari,release-2.7.3,2018,2018-11-13
ambari,release-2.7.5,2019,2019-12-13
ambari,release-2.7.6,2021,2021-11-11
ambari,release-2.7.7-rc0,2022,2022-11-23
ambari,release-2.8.0-rc1,2023,2023-04-08
ant,ANT_1.10.0_RC1,2016,2016-12-27
ant,ANT_1.10.12_RC2,2021,2021-10-13
ant,ANT_1.10.1_RC1,2017,2017-02-02
ant,ANT_1.10.5_RC1,2018,2018-07-10
ant,ANT_1.10.7_RC1,2019,2019-09-01
ant,ANT_1.10.9_RC1,2020,2020-09-27
ant,ANT_12,2000,2000-10-24
ant,ANT_141,2001,2001-10-11
ant,ANT_151_FINAL,2002,2002-10-02
ant,ANT_160,2003,2003-12-18
ant,ANT_162,2004,2004-07-16
ant,ANT_165,2005,2005-06-02
ant,ANT_170,2007,2007-10-29
ant,ANT_170_B1,2008,2008-03-18
ant,ANT_170_RC1,2006,2006-11-05
ant,ANT_171,2009,2009-01-15
ant,ANT_182,2010,2010-12-20
ant,ANT_184,2012,2012-05-22
ant,ANT_193,2013,2013-12-23
ant,ANT_194,2014,2014-04-30
ant,ANT_196,2015,2015-06-29
ant-antlibs-antunit,1.1,2008,2008-09-19
ant-antlibs-antunit,1.2,2011,2011-08-13
ant-antlibs-antunit,1.3,2014,2014-05-14
ant-antlibs-antunit,10,2006,2006-12-30
ant-antlibs-antunit,1_4_1_RC1,2021,2021-07-03
ant-antlibs-antunit,1_4_RC3,2018,2018-06-22
ant-antlibs-compress,1_0,2010,2010-08-23
ant-antlibs-compress,1_1,2011,2011-11-05
ant-antlibs-compress,1_2,2012,2012-04-20
ant-antlibs-compress,1_3,2013,2013-11-07
ant-antlibs-compress,1_4,2014,2014-01-29
ant-antlibs-compress,1_5_RC3,2017,2017-06-08
ant-antlibs-dotnet,10,2006,2006-10-30
ant-antlibs-dotnet,1_1,2011,2011-01-28
ant-antlibs-dotnet,preview_20041022,2005,2005-11-23
ant-ivy,2.0.0-beta1,2007,2007-12-09
