file_path,method,api
/ambari-server/src/test/java/org/apache/ambari/server/alerts/StaleAlertRunnableTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/alerts/StaleAlertRunnableTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/alerts/AmbariPerformanceRunnableTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/alerts/AmbariPerformanceRunnableTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/alerts/AmbariPerformanceRunnableTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/alerts/AmbariPerformanceRunnableTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/UserNameOverrideFilterTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/UserNameOverrideFilterTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/UserNameOverrideFilterTest.java,verify,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/query/render/ClusterBlueprintRendererTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/query/render/ClusterBlueprintRendererTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/query/render/ClusterBlueprintRendererTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/query/render/ClusterBlueprintRendererTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,toReturn,org.powermock.api.support.membermodification.strategy.MethodStubStrategy<java.lang.Object>
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,stub,org.powermock.api.support.membermodification.MemberModifier
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,method,org.powermock.api.support.membermodification.MemberMatcher
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,toReturn,org.powermock.api.support.membermodification.strategy.MethodStubStrategy<java.lang.Object>
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,stub,org.powermock.api.support.membermodification.MemberModifier
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,method,org.powermock.api.support.membermodification.MemberMatcher
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,toReturn,org.powermock.api.support.membermodification.strategy.MethodStubStrategy<java.lang.Object>
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,stub,org.powermock.api.support.membermodification.MemberModifier
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,method,org.powermock.api.support.membermodification.MemberMatcher
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,toReturn,org.powermock.api.support.membermodification.strategy.MethodStubStrategy<java.lang.Object>
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,stub,org.powermock.api.support.membermodification.MemberModifier
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,method,org.powermock.api.support.membermodification.MemberMatcher
/ambari-server/src/test/java/org/apache/ambari/server/api/services/stackadvisor/StackAdvisorRunnerTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/checks/InstallPackagesCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/ComponentsInstallationCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/ServicesUpCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/checks/AmbariMetricsHadoopSinkVersionCheckTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,toReturn,org.powermock.api.support.membermodification.strategy.MethodStubStrategy<java.lang.Object>
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,stub,org.powermock.api.support.membermodification.MemberModifier
