Project,Latest Tag ID
tajo,release-0.12.0-rc0
tapestry-5,5.8.2
tez,rel/release-0.10.2
thrift,v0.17.0
tika,2.5.0
tiles,tiles-parent-3.0.8
tomcat,8.5.82
tomee,tomee-project-9.0.0-M8
turbine-core,turbine-5.1
tuscany-sca-2.x,2.0.1
uima-uimaj,rel/uimaj-3.3.0
UndProjects,unknown
UndProjects - Copy,unknown
untitled,unknown
velocity-engine,2.3
vxquery,apache-vxquery-0.6
whirr,release-0.9.0-rc0
wicket,rel/wicket-9.11.0
wink,wink-1.4.0
wookie,1.0.0
ws-axiom,1.4.0
xerces2-j,Xerces-J_2_12_0
xmlbeans,REL_5_1_0
xmlgraphics-commons,commons-2_7
xmlgraphics-fop,fop-2_7
yetus,rel/0.14.0
zeppelin,v0.10.1
zookeeper,release-3.5.10
